wallet,amount
CpPPfLTUzytRXBrUUjb84EkYtA84CsoeVefhaJ2cyPg3,21407028.870539781
65mxnibS4DL2qqL24GpMJqtNxgEzWgnARTMvXv5SePUb,10010862.906516214
Gg1SxudNLJXbkPVBmrJxezwKxcRjxUgm9i7sYYBzypuv,2120861.173999302
2YXaesd7pqph6fQyfvz2N9YKKSCz1i3TmmaFA2XMn17s,1697065.670094608
8nPdXXTETAmMtbr8k1vRVE3E2b7hE2UNSur2YEy55fFn,1526152.506003912
CTpd26RoAwGQ4gnqC9yvNAHxwJTRhnYRDkWQk9HSst7X,1118274.373637946
BPNvdLuUxdbgV2VyhcrhbTAf1WZSAddFYqWFMmBuiF5n,1058921.760464070
FW5vffajC1wCb1ZztC7bNMQhz3rKy1jKMBqvU5eivYrw,1010166.891684627
GffvQ8LAQ3TgiSdCnUftnrs9mCCV93gUh3v9eE84qSTE,919612.506111747
3wuQFjCDBPZoMxkoL3xFqM1ew5P4kvRuj37ea8obZD1E,897367.949011309
NkNpKowCVRAtpa8VL4R94UAuvzt6RPqGA67xv56tQu6,856976.064956848
8jGS8x6pifRiQ2dVddRKt5yyYynohAwc5TRWhQkS4AL9,827773.439819026
AcCSyMvciEHwU4BzQuRvcFnMeojo6Do3A1GPKNucVukr,818828.414596158
HPsULU2Thf6CfSdomre2K2vDpC66Kbp4RYhjkaKAcCJn,691300.977654534
5EF2myRGH4LF1d45hYcWcH3faMxYBPFFTDMwfrEMNBcv,677841.084452960
J63sUXiEwSU3DerD3FQhkyfLXzv9zw9JvhCwnddwZi3c,626942.890992071
4t2UPUnocvVgTykYAqERg22YM5BesR3TJMgdeo4Humoa,606367.314862103
HFnpFZPHN5nTo3PsdbFcQ31bmiWzRvHFWb1ze7zW3dD2,596887.521011483
6XfGv2t9tuvsfp92px5b48Lzcjitru8im2APGLaHJYEJ,591134.481456635
2G5DjtxGU4AyJvo3c2FVKxvYYcRTrb3KVJMVeFMmttnY,580962.525515829
ATRYp9WZj4V84xXYa3HSTKN646mvtAnYybAwjCwUwRQ1,580307.599973155
8nJ6BYrdTyjocNFAYui9aMSP7DtQtAbyLVbX3ZZLtjX9,571996.488307118
EcX4LwyRo4FRNMLZu2ooNMAJD2e9iH4jsAYaoh6fDgUN,497453.219519866
Dzxps4zhsb6RTtK9pDSfFNvb9eakDhMWnJ35EZTJxMUU,488180.188610358
9T4gstpR6iZLwcFCg2RFDy85VQjCw9W8hR66jiSds4Pa,462863.614423713
8rZBAFtvnKz6cKRTL5uY4KhmNj652CaPww8LnnUmJJKk,429471.551342818
3JchJfRToa6xC7VHBM6goapGQpwnXz5ZZfZQGFrvBtTL,428000.624490053
Ffy6pvPKVXyGWH5eAKcu4s2h3u8bugvRnGBdBefAKADi,392502.571437536
qje3keHqiZmJjmJ3pB3AjdWV2BfoMkpGAsLDbrNb597,391535.780891816
2Hv3fHS46Jxgiy16jm9aF4GpaWeLyZETTqD9Nv6KuDYK,384056.098270234
8SYTeR6GqUSJSrG8nRDyFbZhU25Kcp41PPKr2UZzxVe1,328174.456607102
HT7LRFZxrR4dPqSdZkZhLaBf8zwYhkb89Zd7xHwqD8Lu,298865.135396410
3GumXW8AXcQzVUSLfDeh2myKkD5vciiG8kW9bnkiZvUm,295792.257464954
BW37GKdGcMLtvx7t3aqPXqbfkKujcCZG3jXYTgbtveMU,256166.248584045
4fz4Z6rPbnKWdjGHZSiRkaTWx8NpYLmZ35gEFdehqGgo,240398.868154965
AWv8NZxaJaaoa3qG23ToAtQHpbRR8mfZY8YnN5cGPFyZ,230433.658962140
Dc386eft7NJiYvvx8HBRbnya9BTnoKbnJnbvPK8xXHcr,203673.181917911
2t9RDnyW4WTp9RGF8XgTrptKVH9E6C3Ey4KTZJphS5hM,202297.513334253
jeuX4q4e8fHMqyYg7yMP8T7mDrfbYTFdpjFq6bYZkcq,200536.432137578
ALMCmcXoYakYPtoJagiuLkuShMXhkCit1NKqQkfdsMq4,194092.364258405
3Sn9V2L4GBSZJwri3B8cqjM8gASGzZBVUvzKBm9eH8vr,192028.049135117
AeNUAG3Th4SgBPQHDp1GQHPZY2VktrH2aDYTtRpTCage,191346.796673128
2J19dZPLBTQzVDkqfUTfUnPeZVGm4n2NK3RebG7GUT1z,183969.810661033
BgkwHgWvWYrbEH1CZoaoNQTBwvYbFb4WwjXb6tMripLA,180696.855935486
3MjSKJ5Wzq1fR3gJHyDczdrDdhg7B3JnmZuNQoLKWtaz,168094.325218171
2dJs28aFnBoaVDaSxj4gJcchY6LUpiEaCPDUzN93xwEp,166858.513817152
99qftkCuN9S5UKLmL218RR94D8hwPoPk5QBUDAk9JwRc,166625.538129401
DjzmJzosLNa4NRKMh8c8fpRrHyWNw69S3AWo2WoiUXUx,158075.147859784
3SCNVnpMucoTHa4YtQFWu8JNGNjBdG8JjXJaRzgKDB5N,155909.957853923
47tLesdrznTPt4JdhjRxs81w663TYdsBy8kuTrHmnnEb,153622.439308093
4D9xufExq93DVh4jz4SP8VHtxdRjbhvy6NbM4nUcT2Mk,149124.157187891
4yqkePYfJs1VrfWE3Cj9wHNTUHuDPoHpQ2dgpMiUsqew,134308.225847314
a5DdVpfCNchkr417fp8Hf4MfE9BCa9MsGafPh9Eh9xU,128658.792920528
4jMMSCksWKyJ72XeNw34drasUQMvL6mQ4Epnf8PDqZNa,126109.634823764
A8QjWrQaCAaF83C8U8JpQW6SUPKqmYQDqYrFMP4ssKNb,121734.036900932
F5rheKoNRmjZ3usUqRw6XibvfNA65KYgdNcxEPvsTw2B,120580.544659717
Hp1xzQyeMwryXAZvobHg88xPf2jtu6wkn5vMKJ2QdDyK,120409.231541521
FvEMtMXLmqKbYn4gDtwpaYiowQzw3Hos1hVuuQCPxx2o,117267.043831588
8dSdLtXJyyJcayfAtgijfpp6Uo7ERiuxJPi8cgSxSqK8,117107.249610780
6PkngRWQC1HWqmiL9XeCRxepuGiEYEtSiqfQhnY3xBHj,116250.995966622
7omZRr1n1aDLxfsvpcDi7oWgWJHaGcR3oZMwJBAjXqTC,115950.373965811
83pPEjxsrBqNXpgcrew8moJijzemJynD65U43Rm58sdQ,110457.324406186
DXR6ahTZuuhB2GUSoQoSy5mYzi4V7qcchpdGtj6etHgF,107041.877248594
BcyEvv6yLKPekqBYQUdyqzrCRrQMZG8LZT28bWzagKAT,106186.792091269
BaawJvbyEMiGLQZPGzuFy7Vm17wTP55jcFqiugCAYSV9,102442.880398099
HdgewnvFDzxmYkmsUnQW5DF24LP8oqdU9bZKauL5LQRv,99237.139993745
HaMy7WhfkcaJru758tdn7nWkek5m8J2FVYciRPSXKL8r,99224.005917131
CdWVeSZBTBWUsa8MHJEoaumidYvwHhWuuMfCG4PsVHCz,96234.483521536
FoQS4RvkULhSu19NKfmgu5GhzE1VCjEggbtvXctPwrp2,95684.213704776
8GPQbSGXujunhY4eV6nquBSDxeYVGGx8mdJDKKe5Em5s,94952.037271149
GF9EXtqFiyKJjT4CVYUN49jo61VqAYpDnnGmckhQWrz1,94637.033257119
4qt5X7Qpxpn6sQE1LTk4YuSQLwvcxGno7ahoWyoHAdJC,94407.088724136
3xvJw6bC5DnoefGfoHVQzoAZL3cVFiqggegHX3NqgPdJ,92396.194633356
HoZYEiKdXKeBnPmSnxXSbEN8Wb2DHiMduP5kA6PBnZHb,84819.020549067
AbK6vSS5gXX8uQEFuKYs8mFqyZwqMwXc2z9MxxfS7pXN,77251.763339421
EXXiWfdYSDwqGUU4jye5qre4jqsELhaFLH7MxpHESSR1,77013.050351034
9M9gBZiMJmZ4fyH3ZKN7q7TDfxGbWP2KPXNVXDuPbSG2,76811.219654046
HrWniXnCteSk4Uz3ZTcEy1kY8dVYcXSimEUqALi9PEhx,75370.913622542
BXbNLSSvspU5MoWemcdbjUxKYzwKxvk93cVZg7ab4tKy,75346.622491405
A1LHfgxFE3PDm6QvUZFCyViJHZMc5pKsFipX2ctdRFhC,75196.668222727
BhstCWgS6g3b9HrBycqK7tmyQSY5kySTXD81i9zy71Xu,74557.041610940
9M11KxZfRsGoqUqXLDvAXHtkUYJ4QkW3JLmvrPfnt6BP,74363.222752724
8eHxr4tLNoWgQ62wkgkp1ZL8KjX63K9EhTJc7xpLc1Xp,73736.449064754
2xCm8a8g3xiHRuALWndo2UTDdPvo84hnzYZxW1akESRE,72936.690434922
4mV6kbb948CEgtV9eFwHcC5QP1W9XD7rCvAcP5X2XXUN,72746.046152749
DEdbqX3x8AVNZBXENo5SYMzetcfNzqHKSypPV4ah2Xpb,69308.697474882
4Z1mJZMtAJ3Mqb96b9A64Pm99LToBQYxk2cATGC8uwXZ,68454.067923519
8MWWADcws9jtcnv3dZ2QzKGGnzBsaeEFtABJ4EbM2g2V,67256.410919216
7jWNMeYj4CChukpRXaK5Q4w8jZHNRjfWRutRuXWun4sg,67222.272028295
3qkPZP9ppEwFc66qkHvWy1vVx6voS9Jo14konZUbbWRR,66545.716550127
5RYxaid5pouMukcwxWPKGsvjovADpbNUSEwtE6AG3oQX,66059.337245679
2zgwTSFyrfPXRjXUyE3Hxobp9j6oqrEC4629n4rVv2Kb,64989.474242484
4re1h1Ag7UNdosWUnAonQ2UemEaCiFij818KxZZ2i1FC,64811.927245210
Au8FYkaRiANdHPQkH3wzD1uEEwEdfZPZzM4yhMhM1uJg,64702.861927573
HVQRGjMz7aVWJBSv1NsWJnawWRU9JzMuP4ByahXrJEBi,62173.546513060
GFLBohUDFWHZ6htZ7NAUXtvVGLYoxBhbLmoUh6BRjeqf,60500.613207825
6Tp9sbpTuff87WKgNuZPnV9xXWzcAtL2aPos8vece1Ra,60116.989385236
AZ5tq7WFnAvAqhs3JZybw7dRwL8ZYJJ553eZhdRZfino,58550.890734664
8ne1NnsdC2Dtn7392CxqNyrUnHkHVos5tXKwddCSpDDY,57992.470838805
CywBS9BLZLxdfX4w4Zsrc9RD9TVzXKxyQhgFShKRjEcq,57916.122053820
FCvDzi5nECuBScht4wYFiyKU6YUfHKTnGY69e3mRhhMT,57608.414740535
4LEQQy7AC7TNyoey2QtuxvB9PgfhiMJYYDsGjZtiXf1z,57608.414740535
9Gf5PKc6p9nuG6vFcscBdsQYu6snsouPwfYjzcepMVzC,57060.500957997
8umHLaY4JiHnCjrhLVvBi5rTLg8VuyvNMQ7eE96zVhne,55852.827892888
z1hdP6VVT9bBV8wzmQQ9tY6ZigRcXyLW4qitS18dwKT,55441.050434438
H5eaKXTKhWidMoFKbZ1BUwmJsjCZbqb7bUM2Sb2Cc3Cw,53767.853757832
33NNQx1hQaJhVXPLkeeD8VsmpyGMwgswZ26sTuG26DkV,53767.853757832
F7SRtWpcEz1HBPVoBeyRXMPhRe3WRqHnSiwW56f4CnzH,52654.663601972
GHAYNfx1MhDX7Ho6EqKhiPRqJhLkahqcqiMaWF4LvL22,50576.314718400
q8qqNJqVAMHwakRdTyCuTNUgyA8E72RjXByc2b1awcj,48894.058630201
9zhjAgHrzyy43JETsYNR8XRjZmCLwu6A2VW1YtpuZgXX,48680.321340781
9Ca1o7YVbRmB3gVzyD2qgHbpkL685kW8Xieej7EMQcBb,48578.962362772
FCCqwBQvU8Zw362t9BreNaFhwBYzshYWvevXKwWbw7HV,46747.308052489
EhPo89gh8nTgncUs4KSNpf2A6WP9HkjbvDKEcHNJYYHS,46513.362610625
ASqMdSi5JjWQgqsxX7m8X55QMFopd4JWWdakyBkvBYX5,46144.980812740
41J3gvQeSQWF33ypsZyaEsXAFLh7ydJaLEX2XR9ExpPs,46086.731792428
74aK1HkHDKbWTFgW6wqgUEspmAARXDahrmbrWoC6dPBH,45622.217308917
GmcxS21vfzx1fWZA6tz359yWtsTDVdyRk2j3k1mVrPXz,45075.274348105
EMLs8byjzjtBr77q6CKTAbvXJTAniFsNMcLNH5dNfgAJ,44687.896349536
Dkjt3M3PZrEL4Y8JMNRgfwCPrLQsqtxK6GtV5hM25VE1,44586.208253895
2yydgk4zArd12Vtrk7NFdpUKGWEgw7sd3Eax9tZTxAVP,42634.105770453
F9gSiBnxsAX3XRJP64abPADcRy89D14uKYita7ZY1RZ2,41553.347284622
8FpfivHaQWWWj817fyWwYKymQ7CfAwc5fJw8AWAWFV6f,40742.733132909
BrbrLzXAhiZS3g2EbJmw1T8QhKQVhdUjB5PESovPowki,40325.928723984
3xWihn8MzRwmm3GeudVWqKdDM8GAt6GYpaXjbA1BiNWe,39679.982575541
BHcEnBxqc4G5mYRDE8jSApAjLjtiZj5rXhiSbGeVAV5R,39351.645449327
33HqeSUcpRQVev7W1rjUgmVZHz4jkXWQ1ijyFqrdo1k1,39259.067737833
9MXxgt5PxrEe6oZoa8MtAKBNdpmmQdqMB2By76vawMTK,38859.787655828
ABf2k5LPCPYZYnHMTuQcCUeLws6XLxH96RihPS5KeAfT,38628.652710430
8hb4RQPQs3M6ejMVdscw5HV3RqHxFevtbJbAZESyu8Kp,38539.292061432
CFvWacq7PzFp5Mv3wuYsCQhqn3oZm3ekSqmEe9jaVXxe,38405.609827023
GwsSX9ckq5qSbNRC3ZaQWr4ESiecCf3deMj7fSzhMkga,38405.609827023
ATQxzDU5wrRtMrEecqidp5C5qTcSTQpgdy2bEkUuVNnH,38405.609827023
7ejtfNMGrmcqtaUo7jEvoLLYj2RjEcyjzaBabEu5yLaW,38405.609827023
6DF1WrNsTDU9ZY7U9pKdxgtVC5wevQ2vxhsCzKv7VEbz,38405.609827023
D7ANRDpAek2CN8e9SA3XJFZDkETZ3kFwk2dzD6NCHefW,37701.067085121
A6WA5YKw9p5EBHTjDeJE7Mnqt5WhSuNK2eefuEahRc8z,37347.489101662
DZMRRq3xQGEWJBziYSU3VitJ7cLDUZP8F4A5jSshQMEs,37186.519649368
FBLM6m53XzMPsYiU7526gfd4VkBZ5VEoyMiQJK15C1wo,36506.468267886
HypGVnsCaDXMfLBQjWfdNemujpEF6uSkgLhpThWjx5gv,36466.899488059
Fd9CKmhLU38khboxsfyRZ1qTivEeNcW9HTGKRdB3xq9Y,35979.879706038
9LNPBjBcbkP4yKwSSQFic6XSEPzPco4ZyoJSH5ov5y8D,35531.684712087
EyPCmMcH4YCWxL9gF3EqMZiiy16Xg9PPYfw2ripNXrt7,34843.957295894
GwQ67cFXjG1vDYDd2jWR9zNoUDdSqHLeYaVYzwNRXo6J,34689.023305010
3aawV9RUMh1EqUr3bT5FacMxP5SZx4gW9tiXs66J54Pq,33245.927995473
D2SWfC1xRt5mFVCBD9RttuJsGzQo9GSdcqtzwyZJzGA2,32926.519496160
Ci7scynHjwaX4tUam9JGbVB9FedaXNLzS8HciMGbwSmF,32779.620281202
D5pNAoWDtoNsTtmccWSnmjW8Acug55THi1fckLNKFmn,32089.445138336
D8iu6ry7RGptQSeQER5HaCAADafHJFGubpkaXyAto4ep,30811.469780469
Dq4cZVE8SDBk9V28vqKu8qzxQXtiLeknks6QJkmSrzdt,30724.487861618
GdaxEKUS6SYkwpWhR6en5aXJH9LnXvfTsnRq5cZd9gZb,30724.487861618
G318Q8erofD9vCxp3HNMaY66YfnNUgKEwqvbCxv6YbfB,30371.174591694
5Sfo5ibr1xkh5bcWWghELo5TJTK7Mp2bzBf95su3YtM4,30073.988385221
GuNuMVxFHDGmrZkaFuB7Gq7ayLbd9xvW7kS44m9H7BiB,29389.449379885
B4c7ppV4CrSbTkWxCfjQogbheprJrehzBspkm23NuBMj,29296.857250604
9Sw1t5gcW7Uu931n998fHKbEVMSifeCGCjFEYiQ8MrPY,28963.160692243
8LMAy1cFA4kArvpgWvWqxfLJvPTP7mHrgtdEnRTe86KZ,28804.207370267
GVfREAVRaw5g2dmxpyRdyKXWS7LPcGAy7cpt4ir1NDFh,28771.223588150
AFvHuGwtFzBPrNNuAHYA7BBxNnSTNPjXSzWRviaezSuH,28583.246600631
2YGh97JDkyCoy3bNtyX72sxrYo5zsm5qu1To9ZCAMxc4,27345.009567069
BjgqhCReeSRzEBXoeH3HK3EcZYkBNGBApyyApMBU1tPJ,27323.706206258
5aWxGBbuZeYXEE8uFCar3xhq8mZYFC2UgsEaEWJZnvLY,26767.545975401
7hLAtiPXFMhUbSEjrDWNpMZMaP1WAVy2HUxxsKgrTgr1,26767.545975401
ALDtrdVUGdMRLUjoY14yPEpC7e86esbM5KFTfcQDKzph,26573.361226588
FDWM2MRDpz9Xsu4JipfGQZMHqHRMSpz6PegXpJPVQXs6,26541.031508066
5rYPAwx2zdqzFo13zUiC2cBBwE4gdk8z4Z51MaWKKnMM,25674.225187163
3fnZKeiPdU2xPDvcKFyzLYG1F29BLBNLqb7nh4mhcEbV,25560.564333960
J1wSBop4Mak3ojfpUcPMqB7AXyDZsEpvuHRZQzd7xepi,25370.362790108
3nkgavF2utukxmhXihL153Cs99MnCHsLMeXwmVUVGQCY,25317.661897616
BdehyrATnWHNCmSTigW8kZkd4qhY9dwuDFjL1sJC11yp,25236.949629078
EeJWTw7H6o5vi51gSDXEBMWkUQRbzVcioqrS8AosnNf9,25108.935511045
5eF8xFUSF7eUuEvMzF6qNY3w8ohCp73ekmAPmSUiLHYS,24781.906883990
8AN2XVfuecAyq4staGJFjZoXPSu86xpvEKLwzgTgVGwa,24752.585823717
Dwjeqz1CsbrsRdMr9E4sapSq3ucK8v2fjjEWGNpagHUb,24481.531422188
2r6rCqFJWEUWwyEF37AVxrnZer2hS6mx44AJgwZyQEGX,24211.787391609
BaqvPSVQZjwig9ruYURg2giEYMvqBRMoDFCAt6EmBLvc,23811.478092754
6hcxtAmwHsrdEnTjY3YHwbQ8TrbfNqE1ok5WxvZAsZ8h,23485.187680219
7gHHXWjvc66cK9wjKJ9KgkQuAUZWkucNfAqsLtBzdmEy,23252.642153850
7qKZjUymLKMgzHLvmQpXthC77twRv8JhMgo32zMgwAXE,23169.338485719
EvRX9yz2RPb4fPLKMnzb3EiTCRu5g2DmXLHtFnXHRNLa,23043.365896214
HRWgFA62yUYPNsEaNtCJ4JA7DtSpyf3GWQKGnqwV7Y4,23043.365896214
DZnBr92hH1TSZmSBimWYck39Aa71L4yCoUCERh6T1eHT,22999.818309913
9QoyRQH81zZB7qEVHxmcoxgvVYJa6sQADJpoKYWhiBFS,22911.044159496
BoDiaCeVxFACUKTHnFoC6vX9KErDv7xNx7BzEj6ywQLf,22798.885721254
51b4SAQueRKjzLhs8R1Xfo8WE9HD5tdg8J7d8TWqTHfV,22457.474336586
8osgdwSMdYrEUuX3FSn1dnnCdeL3pvDbTaP7wMaeebi2,22426.596338008
DzJJGqJTpZKBC6Uj1MVSexxLienEv19zH3JMhU7un1zg,22399.355266072
4xYUgX899nYjiV3FqDDa9UENGTi8RH2FJGkrPc2R1fFk,22289.036756907
87GhcdiiALQBAnVq9mccx6pAU7JWdwtfCmxwRZC1XqWu,21123.085404862
GJRxLw85mjEWJG6nwDCb5Bn4UkU44DcMiK3CSy6is2an,21075.767718673
koFfLEZbnowhfThbVZSGaXLr9BuyuFMQoupjeTESaja,19808.158217073
5QrFGiDntLQM92pR6W4jQvzf3xPamoBw6waoMdH3mXmF,19575.709444900
AfDsmeQYFynhzL8RpW67bZpnSazUeoP19aD5cCsHMkBm,19256.852360108
9pWowz6G57xBkVzgxLnyUy82ojZiLsZRP6qm53n6oBpu,19202.804913511
FECgUWLKgaBvXWosornXS5i9FykcY436Mp6soZSt2GJx,19202.804913511
BjdpRoXe9PBWg4dC2PX6FZDFgwUL31iTpVWkWrh7c8jX,19177.489687311
CACu5KCKgg1u7vpyKsxx1FdaX8EmZVaGRpdiFvCppzzX,18877.472254901
Cnsmq9j8QM6EYA9wSDWTH2c7MoEyRjxkFGwnMAtQ75mP,18827.969057776
DkewevhpCspncFpr7CBQKMPWgbaokrJsLZfLy67qfqA6,18442.929010274
6RCwXMydBhv4TWCwufJLAHtLbzAA73FVtXJSspVufcRA,17975.494098330
2awKzNj5NoBVrjnEfjt74qq4CdE1WHnfGhcvueD78vow,17392.457791897
Gfeiy36vrwmYpY9kJoVwAGYqSuc78Ad7PwLH91EokhBa,17025.905737502
DDxJK9pYBGDMPLsPxKZRM7ZwTnTgsi5s4RJav2W8333T,16946.165133330
F4gjPDsj6YvT53BrvWewfGBiRxCYSrY7Vb83wD4uv8nC,16516.159339081
AAjFKKzGWmT53VDsCw2Qjpf2wQfWUYE4vTtaKYtCCLc8,16410.323060510
FFTn2yxRUjgj79PjT5tq19UhXCTGnWy5KHhei34B2QWB,16316.599336200
7RSkCtggpN4hVRFMEWxebWEvrL1rdB6B3Js12mfPvq2b,16130.356127349
ETQ7gXKcuVwFbFqf2Pmxwy1wWsxzKz2snSWeeM6TkNeu,16120.931364850
ECae57zYxzuSjpVbeoKaB4cN1FKCJgTCrdyvY9C4W7Dk,16033.142600386
8xGFjxxNZLRYB1fgHfTvVsdvzuXaqebsX7VSxxUwJEXc,15797.492921158
d4MU5V1DxnJnwAXuhYaTuWn3GgmX6JCgXNjZKto8SJy,15689.381742419
3TRb9d5HYj5bnBQwgs1yDesZZ7bkf5QEDBmxZ9nDxucr,15570.438437344
4hmHhPwq8cP5j3qY8EtfWwiCuvaB7kzkaauEmZVUQtjD,15490.691351958
F4E7bDkn4qJvsGSqUeGmLkMJUpQXpszTQQK1MK8k2HYY,15402.001476115
9tiStbLD1GA9TERsCjANs9iMh8ASEQGc69vMhF4PXZYD,15362.243930809
BFHpSkmizJjtcoZGbFh2sbHjeBzUh2ynzsAnFa5D8Hiz,15023.362195794
GEUY3E9oZpvVw6yz83xGcJbz4LApodcQWHMYwJWgUE6G,14935.152746464
8RACNQBphNpoTALqGG2VBtK4y9nAaUSDQJrWsKaSTEwP,14472.361371526
6TB3kC6qVH5rQyNd9XN3qC9WMy82YFE8jee5qJ25MY3e,14309.133655090
GYX9f23Nft7vHMfRLvgTZu4MmFshzZRWDLr4GUdumRCr,14247.077138719
23Bs9SBD2s4CyXiR6BtsbFJTVmghjaGPuNEKfHxCWQEU,14024.320107871
7agt55DeDTChZBL5LNBiN9ayqvLDDJPuun8GqqZNay4N,13891.895553492
HbumaT4LZ6rbZqmCg5FXKP79D61WM1JRPipciKvruSu5,13860.629887078
BPAw7CffqaCeDCmQs4G4Sb3v74kKBjZWpguSL821MX7P,13281.207614573
J9yosX1WYufLEpXoUPtN9QJ3eTZnQ3z2FQ5brTmJzuWB,12410.685715275
5NcojfDpTrL9f4UDmPKV9S2ziAiHSidV5Newj572mJGA,12269.603602203
ELrs8A9zBYtNMibujtFzL1cw8DgDVjULJLCJWQdPTYGu,11804.684384785
