wallet,amount
4AZctEtzqyH1ZWrriVwpit9oDooGyq14uKH53B3Lae9w,63901578.718027717
FLC999yrvNvzK6XHZKmEZd9p1pg7D2Ewr129pNixyVYY,29883172.855272215
Gg1SxudNLJXbkPVBmrJxezwKxcRjxUgm9i7sYYBzypuv,6330928.877609845
2YXaesd7pqph6fQyfvz2N9YKKSCz1i3TmmaFA2XMn17s,5065867.671924192
8nPdXXTETAmMtbr8k1vRVE3E2b7hE2UNSur2YEy55fFn,4555679.12239973
CTpd26RoAwGQ4gnqC9yvNAHxwJTRhnYRDkWQk9HSst7X,3338132.458620728
BPNvdLuUxdbgV2VyhcrhbTAf1WZSAddFYqWFMmBuiF5n,3160960.478997219
FW5vffajC1wCb1ZztC7bNMQhz3rKy1jKMBqvU5eivYrw,3015423.557267537
GffvQ8LAQ3TgiSdCnUftnrs9mCCV93gUh3v9eE84qSTE,2745111.958542523
3wuQFjCDBPZoMxkoL3xFqM1ew5P4kvRuj37ea8obZD1E,2678710.295556143
NkNpKowCVRAtpa8VL4R94UAuvzt6RPqGA67xv56tQu6,2558137.507333871
8jGS8x6pifRiQ2dVddRKt5yyYynohAwc5TRWhQkS4AL9,2470965.491997087
AcCSyMvciEHwU4BzQuRvcFnMeojo6Do3A1GPKNucVukr,2444263.924167633
HPsULU2Thf6CfSdomre2K2vDpC66Kbp4RYhjkaKAcCJn,2063585.00792398
5EF2myRGH4LF1d45hYcWcH3faMxYBPFFTDMwfrEMNBcv,2023406.22224764
J63sUXiEwSU3DerD3FQhkyfLXzv9zw9JvhCwnddwZi3c,1871471.31639424
4t2UPUnocvVgTykYAqERg22YM5BesR3TJMgdeo4Humoa,1810051.686155528
HFnpFZPHN5nTo3PsdbFcQ31bmiWzRvHFWb1ze7zW3dD2,1781753.794064125
6XfGv2t9tuvsfp92px5b48Lzcjitru8im2APGLaHJYEJ,1764580.541661595
2G5DjtxGU4AyJvo3c2FVKxvYYcRTrb3KVJMVeFMmttnY,1734216.4940771
ATRYp9WZj4V84xXYa3HSTKN646mvtAnYybAwjCwUwRQ1,1732261.492457176
8nJ6BYrdTyjocNFAYui9aMSP7DtQtAbyLVbX3ZZLtjX9,1707452.203901841
EcX4LwyRo4FRNMLZu2ooNMAJD2e9iH4jsAYaoh6fDgUN,1484934.983641389
Dzxps4zhsb6RTtK9pDSfFNvb9eakDhMWnJ35EZTJxMUU,1457254.294359277
9T4gstpR6iZLwcFCg2RFDy85VQjCw9W8hR66jiSds4Pa,1381682.431115559
8rZBAFtvnKz6cKRTL5uY4KhmNj652CaPww8LnnUmJJKk,1282004.630874082
3JchJfRToa6xC7VHBM6goapGQpwnXz5ZZfZQGFrvBtTL,1277613.804447918
Ffy6pvPKVXyGWH5eAKcu4s2h3u8bugvRnGBdBefAKADi,1171649.466977718
qje3keHqiZmJjmJ3pB3AjdWV2BfoMkpGAsLDbrNb597,1168763.525050195
2Hv3fHS46Jxgiy16jm9aF4GpaWeLyZETTqD9Nv6KuDYK,1146436.114239504
